bbl,address,on_dhcr_list,stab_units_by_year,stab_units_ever_nonzero,stab_units_latest_year,unit_count,year_built,building_class,is_condo_coop,abatement_type,abatement_end_year,stab_unit_trend,stabilization_confidence,stabilization_confidence_reason,hpd_violation_count_total,hpd_violation_count_open,hpd_violation_count_class_c,hpd_violation_count_open_class_c,building_safety_tier,building_safety_tier_reason
3026440059,92 GUERNSEY STREET,0,,0,,1.0,2017.0,A4,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440060,94 GUERNSEY STREET,0,,0,,6.0,2021.0,S5,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440062,94 1/2 GUERNSEY STREET,0,,0,,2.0,1901.0,B9,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440063,96 GUERNSEY STREET,0,,0,,2.0,1901.0,B9,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440064,98 GUERNSEY STREET,0,,0,,2.0,1901.0,B9,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440065,100 GUERNSEY STREET,0,,0,,2.0,1901.0,B1,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026447501,102 GUERNSEY STREET,0,,0,,14.0,1990.0,R3,1,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026447502,62 NORMAN AVENUE,0,,0,,6.0,1898.0,R1,1,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",1.0,0.0,0.0,0.0,clean_record,0 open HPD violations on record
3026447503,80 GUERNSEY STREET,0,,0,,9.0,2003.0,R1,1,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",5.0,4.0,0.0,0.0,some_issues,4 open HPD violations (none class C)
3026447504,90 GUERNSEY STREET,0,,0,,6.0,2007.0,RM,1,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",1.0,0.0,0.0,0.0,clean_record,0 open HPD violations on record
3026450001,72 NORMAN AVENUE,0,,0,,3.0,1899.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026450002,72 1/2 NORMAN AVENUE,0,,0,,2.0,1899.0,B9,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026450003,74 NORMAN AVENUE,0,,0,,2.0,1899.0,B9,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026450004,76 NORMAN AVENUE,0,,0,,2.0,1899.0,B2,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
