10002,14,DELANCEY                      ,ST        ,FORMER IMD BUILDING ,,                    
10002,47 TO 53            ,DELANCEY                      ,ST        ,,,
10002,143,DIVISION                      ,ST        ,APT BLDG            ,MULTIPLE DWELLING B ,                    
10002,19,DIVISION                      ,ST        ,                    ,                    ,                    
10002,123,DIVISION                      ,ST        ,                    ,,                    
10002,13,DIVISION                      ,ST        ,                    ,,                    
10002,136 TO 138          ,DIVISION                      ,ST        ,                    ,,                    
10002,51,DIVISION                      ,ST        ,                    ,,                    
10002,139,DIVISION                      ,ST        ,                    ,,                    
10002,113,DIVISION                      ,ST        ,                    ,,                    
10002,115,DIVISION                      ,ST        ,                    ,,                    
10002,162,E BROADWAY                    ,          ,                    ,                    ,                    
10002,92,E BROADWAY                    ,          ,                    ,                    ,                    
10002,60,E BROADWAY                    ,          ,                    ,                    ,                    
10002,94,E BROADWAY                    ,          ,                    ,,                    
10002,137,E BROADWAY                    ,          ,                    ,,                    
10002,139,E BROADWAY                    ,          ,                    ,,                    
10002,152,E BROADWAY                    ,          ,                    ,,                    
10002,95,E BROADWAY                    ,          ,                    ,,                    
10002,126,E BROADWAY                    ,          ,                    ,,                    
10002,26,E BROADWAY                    ,          ,                    ,,                    
10002,154,E BROADWAY                    ,          ,                    ,,                    
10002,211,E BROADWAY                    ,          ,                    ,,                    
10002,243,E BROADWAY                    ,          ,                    ,,                    
10002,66,E BROADWAY                    ,          ,                    ,,                    
10002,96,E BROADWAY                    ,          ,                    ,,                    
10002,56,E BROADWAY                    ,          ,                    ,,                    
10002,54,E BROADWAY                    ,          ,                    ,,                    
10002,64,E BROADWAY                    ,          ,                    ,,                    
10002,125,E BROADWAY                    ,          ,                    ,,                    
10002,160,E BROADWAY                    ,          ,                    ,,                    
10002,24,E BROADWAY                    ,          ,                    ,,                    
10002,61,E BROADWAY                    ,          ,                    ,,                    
10002,99,E BROADWAY                    ,          ,                    ,,                    
10002,135,E BROADWAY                    ,          ,                    ,,                    
10002,101,E BROADWAY                    ,          ,                    ,,                    
10002,129,E BROADWAY                    ,          ,                    ,,                    
10002,144,E BROADWAY                    ,          ,                    ,,                    
10002,221,E BROADWAY                    ,          ,                    ,,                    
10002,169,E BROADWAY                    ,          ,                    ,,                    
10002,171,E BROADWAY                    ,          ,                    ,,                    
10002,167,E BROADWAY                    ,          ,                    ,,                    
10002,215,E BROADWAY                    ,          ,                    ,,                    
10002,251,E BROADWAY                    ,          ,                    ,,                    
10002,253,E BROADWAY                    ,          ,                    ,,                    
10002,187,E BROADWAY                    ,          ,                    ,,                    
10002,29,E BROADWAY                    ,          ,                    ,,                    
10002,189,E BROADWAY                    ,          ,                    ,,                    
10002,217,E BROADWAY                    ,          ,                    ,,                    
10002,183,E BROADWAY                    ,          ,                    ,,                    
10002,34,E BROADWAY                    ,          ,,,                    
10002,127,E BROADWAY                    ,          ,,,                    
10002,219,E BROADWAY                    ,          ,APT BUILDING        ,,                    
10002,273 TO 275          ,E HOUSTON                     ,ST        ,                    ,                    ,                    
10002,137,E HOUSTON                     ,ST        ,                    ,,                    
10002,177,E HOUSTON                     ,ST        ,                    ,,                    
10002,319,E HOUSTON                     ,ST        ,                    ,,                    
10002,279,E HOUSTON                     ,ST        ,                    ,,                    
10002,283,E HOUSTON                     ,ST        ,                    ,,                    
10002,179,E HOUSTON                     ,ST        ,                    ,,                    
10002,250,E HOUSTON                     ,ST        ,421-A               ,,                    
10002,217,E HOUSTON                     ,ST        ,J-51                ,,                    
10002,305,E HOUSTON                     ,ST        ,LIHTC               ,,ARTICLES 14 & 15    
10002,325,E HOUSTON                     ,ST        ,LIHTC               ,,ARTICLES 14 & 15    
